panel_source,panel_group,gene,rank,logfoldchanges,pvals_adj,score
germ_cluster,1,ATCG01130,1,3.1604080200195312,0.0,40.579994201660156
germ_cluster,1,ATCG00800,2,3.3026483058929443,0.0,39.028587341308594
germ_cluster,1,ATCG00820,3,3.0294716358184814,0.0,37.97465515136719
germ_cluster,1,ATCG00740,4,3.115880012512207,0.0,37.96149826049805
germ_cluster,1,ATCG00170,5,3.1849117279052734,0.0,37.94522476196289
germ_cluster,1,ATCG00790,6,2.9977591037750244,5.431703661761845e-288,36.47869873046875
germ_cluster,1,ATCG00180,7,3.07669734954834,1.5168718929987715e-280,36.001712799072266
germ_cluster,1,AT3G53460,8,2.7176315784454346,2.4797560122665852e-272,35.46916580200195
germ_cluster,1,AT2G04030,9,2.466261863708496,7.043574431901415e-243,33.50077819824219
germ_cluster,1,ATCG00160,10,2.831491470336914,2.314082009824888e-224,32.20090866088867
germ_cluster,1,AT4G29060,11,2.8151443004608154,3.315931255638222e-221,31.971662521362305
germ_cluster,1,ATCG00190,12,2.9347474575042725,3.8609052979275814e-220,31.892139434814453
germ_cluster,1,AT5G26742,13,2.529348134994507,4.1022432629913094e-219,31.815513610839844
germ_cluster,1,AT1G01320,14,2.6881637573242188,7.723863156819679e-213,31.356197357177734
germ_cluster,1,AT4G20360,15,2.6223857402801514,1.267077014407857e-212,31.338224411010742
germ_cluster,1,ATCG00810,16,2.654517889022827,8.235164423691642e-211,31.202808380126953
germ_cluster,1,AT3G22120,17,2.893486738204956,3.009665891347973e-204,30.713232040405273
germ_cluster,1,AT2G28000,18,2.274700880050659,1.096316934154972e-201,30.518930435180664
germ_cluster,1,AT1G35680,19,2.3568782806396484,7.973381346869419e-194,29.918760299682617
germ_cluster,1,AT3G56910,20,2.37138032913208,3.7023975217567614e-192,29.788625717163086
germ_cluster,1,AT3G27850,21,2.4711735248565674,5.815843404314819e-192,29.771841049194336
germ_cluster,1,AT1G67090,22,2.912992477416992,1.17880809045115e-186,29.35742950439453
germ_cluster,1,AT2G37220,23,2.2430624961853027,2.9456366128675223e-186,29.324739456176758
germ_cluster,1,AT1G79850,24,2.2993733882904053,5.372857753953976e-178,28.668046951293945
germ_cluster,1,AT4G34620,25,2.0620572566986084,9.792841422205679e-176,28.484682083129883
germ_cluster,1,AT3G21720,26,1.940427303314209,4.421382734819956e-168,27.858428955078125
germ_cluster,1,AT1G15500,27,1.96852707862854,1.139494848062903e-166,27.740341186523438
germ_cluster,1,ATCG00340,28,2.464679479598999,2.3174674384947792e-166,27.71346092224121
germ_cluster,1,AT5G50920,29,2.2462823390960693,1.7512556359997158e-161,27.304391860961914
germ_cluster,1,AT1G48350,30,2.199561834335327,3.851790756410019e-161,27.274307250976562
germ_cluster,1,AT4G24770,31,2.109875440597534,4.592282615996502e-160,27.18220329284668
