,stressor_class
ug_root_dark,microgravity
ug_root_light,microgravity
ug_leaf_dark,microgravity
ug_leaf_light,microgravity
gcr_40cGy,radiation_GCR
gcr_80cGy,radiation_GCR
rad_100Gy_co60_90m_a,radiation_acute
rad_100Gy_co60_1440m_a,radiation_acute
rad_100Gy_co60_180m,radiation_acute
rad_100Gy_co60_90m_b,radiation_acute
rad_100Gy_co60_1440m_b,radiation_acute
rad_100Gy_co60_90m_c,radiation_acute
rad_100Gy_co60_1440m_c,radiation_acute
rad_10cGy_cs137_24h,radiation_lowdose
rad_100cGy_cs137_24h,radiation_lowdose
hypoxia_1pct,low_oxygen
anoxia_0pct,low_oxygen
submergence,low_oxygen
gravitropism_12h,tropism_gravi
gravitropism_24h,tropism_gravi
phototropism,tropism_photo
hypergravity_2g,hypergravity
desiccation_seed,desiccation
ethylene_ACC,ethylene
temperature_warm,temperature
osmotic,osmotic
uv_B,uv
