Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy,rad_100Gy_co60_90m_a,rad_100Gy_co60_1440m_a,rad_100Gy_co60_180m,rad_100Gy_co60_90m_b,rad_100Gy_co60_1440m_b,rad_100Gy_co60_90m_c,rad_100Gy_co60_1440m_c,rad_10cGy_cs137_24h,rad_100cGy_cs137_24h
gehring_L1_tissue::Embryo,0.6328644487214736,0.1424485240555225,0.8715445890021909,0.2307730141814902,0.336383792472701,0.0,0.0009700592522678412,0.9511102794411177,0.6939900338079297,0.015288907633909742,0.5431808278867102,0.44674549718106066,0.26483230460325724,0.623831594461467,0.5856828825384689
gehring_L1_tissue::Endosperm,0.9206770210561988,0.0515649121517312,0.8450176038877318,0.4916216175743871,0.932388883548654,0.2889137156070566,0.9588403061329176,0.4026285082601486,0.41646582473729876,0.23385161938312335,0.8189610298502228,0.018752074344507135,0.3246174191107763,0.6896952526243145,0.9253887391219671
gehring_L1_tissue::Funiculus,0.8979252727158289,0.8308661729152095,0.7983435759061855,0.7118196573489631,0.258522254863921,0.2404037497902131,1.0,1.0,0.9862370723945902,0.992161973892978,0.24977375565610857,0.5102920765808058,1.0,0.6208347936036723,0.8212192963574179
gehring_L1_tissue::Ovule,0.1855008706809641,0.131286468463462,1.0,0.0265103697024346,1.0,0.9807063628986752,0.9281686358754028,0.7315842963074491,0.9723276921964272,0.15010927495111384,0.7916770810888458,0.05029581137396702,0.9610440782866506,0.6066933638443937,0.8292177435823844
gehring_L1_tissue::Seed coat,0.5464658499577388,0.0749569947805631,0.8012321262929449,0.154539600772698,0.6772332751644243,0.2239583045164574,1.0,0.8960479041916168,0.6230742250236395,0.059757236227824466,0.050381714816103956,0.039905609190240984,0.9958072603923056,0.9219171116196287,0.9119250914831024
gehring_L2_celltype::CPT,0.5153698102832004,0.0568876060621302,0.8095308935832589,0.3552801030264005,0.7740424588437449,0.9248004027907644,0.34468145351580937,0.7771733319076134,0.5353777773267643,0.8711571631759958,0.16664198546551487,0.10148181409968568,1.0,0.6535596236969234,0.8882071748745364
gehring_L2_celltype::CZE,0.3544679681055815,0.1977731156588761,0.7419666765843498,0.2859833683999599,0.3889266116068953,0.0,0.019370870693723452,0.8233240550149701,1.0,0.031742684420879276,0.7638914027149322,0.27033149914125304,0.3760858040047307,0.6658355099430614,0.38426564356030096
gehring_L2_celltype::CZSC,0.7342048806650576,0.1431496512447513,0.8935097946304927,0.3057168620378719,0.3911091402915581,0.5937265802460828,0.9843179377013963,0.9505200126063663,1.0,0.8953380213565503,0.6789593792788682,0.4606903085196096,1.0,0.6501839275608376,0.7848173925521992
gehring_L2_celltype::EMB,0.6328644487214736,0.1424485240555225,0.8715445890021909,0.2307730141814902,0.336383792472701,0.0,0.0009700592522678412,0.9511102794411177,0.6939900338079297,0.015288907633909742,0.5431808278867102,0.44674549718106066,0.26483230460325724,0.623831594461467,0.5856828825384689
gehring_L2_celltype::FUN,0.8979252727158289,0.8308661729152095,0.7983435759061855,0.7118196573489631,0.258522254863921,0.2404037497902131,1.0,1.0,0.9862370723945902,0.992161973892978,0.24977375565610857,0.5102920765808058,1.0,0.6208347936036723,0.8212192963574179
gehring_L2_celltype::MCE,0.5200577398955183,0.1969297026951931,0.0859119309729247,0.7921465879510693,0.8591548782159933,0.8930657928843456,0.615390665650222,0.9297654690618763,0.7860128733637086,0.11955236044561003,0.27328187383550706,0.5058116715727852,0.9879594631607779,0.6328803511448339,0.877501136064672
gehring_L2_celltype::OVL,0.1855008706809641,0.131286468463462,1.0,0.0265103697024346,1.0,0.9807063628986752,0.9281686358754028,0.7315842963074491,0.9723276921964272,0.15010927495111384,0.7916770810888458,0.05029581137396702,0.9610440782866506,0.6066933638443937,0.8292177435823844
