embryo_state,nearest_germ_celltype,z,2nd
1. EMB up proto I,provasculature: protophloem (cl15),2.93,cortex/endodermis (cl2)
1. EMB upp proto,epidermis (cl6),1.62,radicle epidermis (cl10)
2. EMB low proto,epidermis (cl6),1.13,unassigned (cl11)
2. EMB up proto II,hypocotyl cortex (mid) (cl7),1.53,cotyledon mesophyll (cl13)
3. EMB inn cotyl,cotyledon mesophyll (cl3),1.08,unassigned (cl11)
3. EMB low proto,radicle epidermis (cl10),1.04,columella/root cap (+QC) (cl4)
4. EMB cort init,hypocotyl cortex (early) (cl5),1.07,columella/root cap (+QC) (cl4)
4. EMB unknown I,radicle epidermis (cl10),0.56,hypocotyl cortex (early) (cl5)
4. EMB vasc prim,provasculature: protoxylem (cl9),1.88,provasculature (cl12)
5. EMB gro tiss init,unassigned (cl8),0.81,unassigned (cl11)
6. EMB cort init,unassigned (cl8),0.86,cortex/endodermis (cl2)
6. EMB unknown,columella/root cap (+QC) (cl4),1.08,hypocotyl cortex (early) (cl5)
7. EMB hypoph,radicle apical meristem (cl14),2.14,unassigned (cl8)
8. EMB  s-phase,unassigned (cl11),1.38,cotyledon mesophyll (cl3)
9. EMB g2/m-phase,unassigned (cl11),0.56,cotyledon mesophyll (cl3)
