AGI,dir,tp
AT1G26380,up,10 min
AT1G26410,up,10 min
AT1G47540,up,10 min
AT2G05580,up,10 min
AT2G23240,up,10 min
AT1G14930,up,10 min
AT2G15010,up,10 min
AT5G45690,up,10 min
AT2G13660,up,10 min
AT2G32210,up,10 min
AT4G28405,up,10 min
AT5G08505,down,10 min
AT3G50320,down,10 min
AT1G77815,down,10 min
AT5G36662,down,10 min
AT1G72820,down,10 min
AT2G06960,down,10 min
AT1G50780,down,10 min
AT5G38120,down,10 min
AT5G17730,down,10 min
AT3G28520,down,10 min
AT5G17740,down,10 min
AT5G17750,down,10 min
AT5G60740,down,10 min
AT4G27420,down,10 min
AT5G25320,down,10 min
AT1G76290,down,10 min
AT4G03170,down,10 min
AT3G31900,down,10 min
AT3G32400,down,10 min
AT5G20310,down,10 min
AT1G59453,down,10 min
AT3G21880,down,10 min
AT4G10240,down,10 min
AT1G10455,down,10 min
AT4G05370,down,10 min
AT4G01160,down,10 min
AT5G44760,down,10 min
AT5G05120,down,10 min
AT5G60470,down,10 min
AT3G01030,down,10 min
AT5G54360,down,10 min
AT2G15740,down,10 min
AT5G15480,down,10 min
AT2G12880,down,10 min
AT1G04500,down,10 min
AT4G10660,down,10 min
AT3G10116,down,10 min
AT2G01800,down,10 min
AT4G00580,down,10 min
AT3G26140,down,10 min
AT1G68420,down,10 min
AT2G15780,down,10 min
AT2G01780,down,10 min
AT1G44478,down,10 min
AT3G23480,down,10 min
AT5G26130,down,10 min
AT3G25850,down,10 min
AT2G21810,down,10 min
AT3G05300,down,10 min
AT1G32720,down,10 min
AT5G51900,down,10 min
AT3G61035,down,10 min
AT5G48750,down,10 min
AT1G32300,down,10 min
AT3G53050,down,10 min
AT3G52350,down,10 min
AT3G16680,down,10 min
AT4G21895,down,10 min
AT2G05635,down,10 min
AT3G32330,down,10 min
AT1G66420,down,10 min
AT4G00232,down,10 min
AT2G20613,down,10 min
AT5G41765,down,10 min
AT1G61700,down,10 min
AT1G40390,down,10 min
AT4G35280,down,10 min
AT4G35700,down,10 min
AT3G45450,down,10 min
AT5G62800,down,10 min
AT5G37870,down,10 min
AT3G03272,down,10 min
AT5G65370,down,10 min
AT3G57250,down,10 min
AT2G29040,down,10 min
AT2G07140,down,10 min
AT1G20735,down,10 min
AT1G12190,down,10 min
AT1G33020,down,10 min
AT3G16820,down,10 min
AT3G17480,down,10 min
AT3G21170,down,10 min
AT3G22720,down,10 min
AT3G24700,down,10 min
AT4G04690,down,10 min
AT3G17500,down,10 min
AT1G47350,down,10 min
AT1G59630,down,10 min
AT1G71290,down,10 min
AT3G06280,down,10 min
AT3G47130,down,10 min
AT3G47140,down,10 min
AT3G49440,down,10 min
AT3G52330,down,10 min
AT5G43550,down,10 min
AT5G44345,down,10 min
AT3G03405,down,10 min
AT5G41490,down,10 min
AT3G10990,down,10 min
AT1G31090,down,10 min
AT3G28410,down,10 min
AT5G38570,down,10 min
AT1G20800,down,10 min
AT1G27550,down,10 min
AT1G31080,down,10 min
AT1G20360,down,10 min
AT1G32020,down,10 min
AT1G46984,down,10 min
AT1G47810,down,10 min
AT1G66490,down,10 min
AT1G67130,down,10 min
AT3G17400,down,10 min
AT3G19880,down,10 min
AT3G19890,down,10 min
AT3G20690,down,10 min
AT3G23950,down,10 min
AT3G23970,down,10 min
AT3G49450,down,10 min
AT3G49510,down,10 min
AT3G60790,down,10 min
AT3G62230,down,10 min
AT5G39460,down,10 min
AT2G05970,down,10 min
AT2G15640,down,10 min
AT2G26850,down,10 min
AT2G34280,down,10 min
AT2G42730,down,10 min
AT1G47915,down,10 min
AT2G35280,down,10 min
AT1G53815,down,10 min
AT5G22670,down,10 min
AT5G44960,down,10 min
AT4G33290,down,10 min
AT4G39753,down,10 min
AT5G39560,down,10 min
AT5G51250,down,10 min
AT1G11770,down,10 min
AT1G34575,down,10 min
AT5G40750,down,10 min
AT5G56800,down,10 min
AT5G11370,down,10 min
AT5G56325,down,10 min
AT5G56560,down,10 min
AT5G56400,down,10 min
AT5G56430,down,10 min
AT5G56440,down,10 min
AT5G53592,down,10 min
AT1G06500,down,10 min
AT1G61440,down,10 min
AT1G42190,down,10 min
AT5G03590,down,10 min
AT5G03980,down,10 min
AT2G19010,down,10 min
AT3G23860,down,10 min
AT3G20980,down,10 min
AT1G19460,down,10 min
AT1G65210,down,10 min
AT4G12960,down,10 min
AT1G35150,down,10 min
AT1G42710,down,10 min
AT3G29450,down,10 min
AT1G27710,down,10 min
AT4G33840,down,10 min
AT4G19800,down,10 min
AT3G29690,down,10 min
AT3G47170,down,10 min
AT4G29250,down,10 min
AT1G29780,down,10 min
AT3G45470,down,10 min
AT2G21420,down,10 min
AT2G36260,down,10 min
AT2G39030,down,10 min
AT5G49750,down,10 min
AT3G46350,down,10 min
AT1G57550,down,10 min
AT5G40070,down,10 min
AT5G46320,down,10 min
AT5G51860,down,10 min
AT1G48150,down,10 min
AT1G72350,down,10 min
AT4G00350,down,10 min
AT4G32700,down,10 min
AT2G21480,down,10 min
AT2G43730,down,10 min
AT3G44800,down,10 min
AT2G44175,down,10 min
AT3G60060,down,10 min
AT4G27190,down,10 min
AT4G27220,down,10 min
AT2G44070,down,10 min
AT1G60240,down,10 min
AT3G20760,down,10 min
AT3G45760,down,10 min
AT3G24330,down,10 min
AT1G11990,down,10 min
AT3G23770,down,10 min
AT2G33845,down,10 min
AT1G33900,down,10 min
AT1G65780,down,10 min
AT3G29800,down,10 min
AT4G08190,down,10 min
AT2G30630,down,10 min
AT3G51690,down,10 min
AT1G68630,down,10 min
AT4G40100,down,10 min
AT1G11470,down,10 min
AT2G41390,down,10 min
AT5G38250,down,10 min
AT5G12000,down,10 min
AT1G20750,down,10 min
AT1G53820,down,10 min
AT3G42830,down,10 min
AT1G18780,down,10 min
AT1G21960,down,10 min
AT3G13228,down,10 min
AT3G14970,down,10 min
AT4G18110,down,10 min
AT5G41430,down,10 min
AT5G53910,down,10 min
AT2G03000,down,10 min
AT2G15260,down,10 min
AT3G43750,down,10 min
AT3G45580,down,10 min
AT2G25370,down,10 min
AT5G07225,down,10 min
AT3G52980,down,10 min
AT1G45100,down,10 min
AT1G60830,down,10 min
AT5G03580,down,10 min
AT5G05720,down,10 min
AT5G53680,down,10 min
AT5G53720,down,10 min
AT5G59860,down,10 min
AT3G48840,down,10 min
AT3G10845,down,10 min
AT4G10613,down,10 min
AT4G04650,down,10 min
AT1G47920,down,10 min
AT1G66640,down,10 min
AT3G58890,down,10 min
AT3G59180,down,10 min
AT1G27870,down,10 min
AT3G09510,down,10 min
AT1G18790,down,10 min
AT5G66990,down,10 min
AT3G22020,down,10 min
AT1G51900,down,10 min
AT3G15490,down,10 min
AT2G14830,down,10 min
AT5G39770,down,10 min
AT4G20220,down,10 min
AT3G04200,down,10 min
AT5G38960,down,10 min
AT1G66720,down,10 min
AT1G68040,down,10 min
AT3G23460,down,10 min
AT4G19340,down,10 min
AT5G03600,down,10 min
AT4G39020,down,10 min
AT4G26920,down,10 min
AT1G20240,down,10 min
AT1G63280,down,10 min
AT3G46840,down,10 min
AT4G21630,down,10 min
AT5G11940,down,10 min
AT1G66220,down,10 min
AT1G32980,down,10 min
AT5G45640,down,10 min
AT4G09070,down,10 min
AT5G39230,down,10 min
AT4G09430,down,10 min
AT4G11340,down,10 min
AT5G17970,down,10 min
AT5G45230,down,10 min
AT1G69650,down,10 min
AT3G58360,down,10 min
AT3G58410,down,10 min
AT2G15710,down,10 min
AT3G44805,down,10 min
AT2G06541,down,10 min
AT1G66960,down,10 min
AT1G52900,down,10 min
AT1G57850,down,10 min
AT2G03300,down,10 min
AT1G09665,down,10 min
AT4G19910,down,10 min
AT3G01010,down,10 min
AT4G08430,down,10 min
AT5G45570,down,10 min
AT1G80990,down,10 min
AT2G04750,down,10 min
AT2G07020,down,10 min
AT5G02730,down,10 min
AT1G47780,down,10 min
AT1G52460,down,10 min
AT5G47350,down,10 min
AT2G24320,down,10 min
AT4G03450,down,10 min
AT5G35830,down,10 min
AT5G50140,down,10 min
AT5G54620,down,10 min
AT1G64830,down,10 min
AT1G69100,down,10 min
AT3G30770,down,10 min
AT3G42550,down,10 min
AT4G12920,down,10 min
AT4G30030,down,10 min
AT5G45120,down,10 min
AT4G04985,down,10 min
AT1G31450,down,10 min
AT1G33880,down,10 min
AT2G31215,down,10 min
AT2G15170,down,10 min
AT4G32090,down,10 min
AT4G32100,down,10 min
AT4G32110,down,10 min
AT2G39060,down,10 min
AT4G08530,down,10 min
AT5G56480,down,10 min
AT3G22580,down,10 min
AT5G38170,down,10 min
AT5G52160,down,10 min
AT2G14846,down,10 min
AT4G23120,down,10 min
AT4G15755,down,10 min
AT1G48590,down,10 min
AT1G23240,down,10 min
AT3G54570,down,10 min
AT5G53600,down,10 min
AT2G04910,down,10 min
AT5G62780,down,10 min
AT1G18130,down,10 min
AT5G27800,down,10 min
AT1G07850,down,10 min
AT4G12270,down,10 min
AT5G52700,down,10 min
AT5G52770,down,10 min
AT5G39370,down,10 min
AT1G63205,down,10 min
AT4G03565,down,10 min
AT1G03720,down,10 min
AT3G21970,down,10 min
AT1G45243,down,10 min
AT4G29620,down,10 min
AT2G34120,down,10 min
AT1G58265,down,10 min
AT2G20465,down,10 min
AT1G61688,down,10 min
AT1G56553,down,10 min
AT5G04045,down,10 min
AT5G55565,down,10 min
AT3G16895,down,10 min
AT5G60500,down,10 min
AT1G65450,down,10 min
AT3G10595,down,10 min
AT1G35550,down,10 min
AT3G09990,down,10 min
AT1G74290,down,10 min
AT3G23220,down,10 min
AT5G67000,down,10 min
AT3G50090,down,10 min
AT5G11130,down,10 min
AT5G39130,down,10 min
AT3G04170,down,10 min
AT2G30810,down,10 min
AT2G39540,down,10 min
AT3G11920,down,10 min
AT2G46190,down,10 min
AT5G44830,down,10 min
AT5G44840,down,10 min
AT2G15460,down,10 min
AT1G77780,down,10 min
AT3G55780,down,10 min
AT4G19730,down,10 min
AT5G20560,down,10 min
AT2G39640,down,10 min
AT3G18180,down,10 min
AT3G57620,down,10 min
AT2G06500,down,10 min
AT5G31412,down,10 min
AT5G33406,down,10 min
AT1G43260,down,10 min
AT5G54210,down,10 min
AT2G04930,down,10 min
AT1G20320,down,10 min
AT3G21490,down,10 min
AT4G23882,down,10 min
AT1G57780,down,10 min
AT2G28090,down,10 min
AT5G13130,down,10 min
AT1G77660,down,10 min
AT1G43330,down,10 min
AT3G10580,down,10 min
AT3G19070,down,10 min
AT4G04580,down,10 min
AT3G10585,down,10 min
AT5G23650,down,10 min
AT5G26070,down,10 min
AT4G39745,down,10 min
AT1G19025,down,10 min
AT4G23110,down,10 min
AT4G15750,down,10 min
AT1G52110,down,10 min
AT4G19250,down,10 min
AT4G19260,down,10 min
AT4G11745,down,10 min
AT1G72290,down,10 min
AT4G20790,down,10 min
AT5G39390,down,10 min
AT1G53420,down,10 min
AT2G19230,down,10 min
AT3G52690,down,10 min
AT5G24180,down,10 min
AT5G24220,down,10 min
AT4G38120,down,10 min
AT3G28450,down,10 min
AT3G10890,down,10 min
AT5G46000,down,10 min
AT1G45403,down,10 min
AT5G14290,down,10 min
AT5G47290,down,10 min
AT2G06020,down,10 min
AT1G32010,down,10 min
AT1G36100,down,10 min
AT4G03620,down,10 min
AT3G04410,down,10 min
AT5G07050,down,10 min
