TAIR_ID,gene_symbol,gene_name,NMF_shoot_late_log2,radicle_apical_meristem_spec_z
AT3G22360,AOX1B,ALTERNATIVE OXIDASE 1B,0.45,3.61
AT5G22410,RHS18,ROOT HAIR SPECIFIC 18,0.45,3.61
AT5G67400,PRX73,peroxidase family protein,0.302,3.58
AT5G24070,PER61,peroxidase family protein,0.307,3.45
AT1G30870,PER7,PEROXIDASE7,0.365,3.43
AT5G17820,PER57,PEROXIDASE 57,0.327,3.43
AT4G26010,PRX44,peroxidase family protein,0.422,3.41
AT5G51930,,Glucose-methanol-choline (GMC) oxidoreductase family protein,0.45,3.39
AT4G25310,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase,0.45,3.37
AT3G01190,PER27,peroxidase family protein,0.439,3.35
AT4G37160,SKS15,SKU5 SIMILAR 15,0.45,3.14
AT2G23630,SKS16,SKU5 SIMILAR 16,0.45,3.13
AT5G44380,,ATBBE24 FAD-binding Berberine family protein,0.228,3.03
AT4G29740,CKX4,CYTOKININ OXIDASE 4,0.228,3.02
AT3G46490,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase,0.228,3.02
AT2G43480,PER26,peroxidase family protein,0.758,2.88
AT5G64100,PRX69,peroxidase family protein,0.53,2.87
AT5G51060,RBOHC,RESPIRATORY BURST OXIDASE HOMOLOG C,0.34,2.84
AT1G50580,,UDP-Glycosyltransferase superfamily protein,1.131,2.61
AT2G46740,GULLO5,"L -GULONO-1, 4-LACTONE ( L -GULL) OXIDASE 5",0.45,2.57
AT1G30730,,ATBBE11 FAD-binding Berberine family protein,0.228,2.46
AT1G55290,,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase.
F6'H2",0.45,1.99
AT1G60740,,"PEROXIREDOXIN IID, PRXIID",0.228,1.64
AT2G38960,AERO2,ENDOPLASMIC RETICULUM OXIDOREDUCTINS 2,1.322,1.56
AT4G21850,MSRB9,METHIONINE SULFOXIDE REDUCTASE B9,0.45,1.46
AT1G49390,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase,0.45,1.42
AT5G17050,,UDP-glucoronosyl/UDP-glucosyl transferase family protein,0.111,1.36
AT4G23420,,NAD(P)-binding Rossmann-fold superfamily protein,0.228,1.28
AT5G08640,,"ATFLS1, FLAVONOL SYNTHASE, FLAVONOL SYNTHASE 1, FLS, FLS1",0.263,1.21
AT3G56840,L-2HGDH,L-2-HYDROXYGLUTARATE DEHYDROGENASE,0.228,1.07
AT5G05270,,"ATCHIL, CHALCONE ISOMERASE LIKE, CHIL",0.176,1.06
AT5G11540,GULLO3,"L -GULONO-1, 4-LACTONE ( L -GULL) OXIDASE 3",0.315,1.06
