gene,log2FC
AT1G01010,0.4333076111698439
AT1G01020,0.09897658499164139
AT1G01030,-0.7391118588787038
AT1G01040,-0.015795765204542043
AT1G01050,-0.08623048217753948
AT1G01060,0.6026166153500334
AT1G01070,-1.662787584253545
AT1G01080,-0.33874881980489746
AT1G01090,0.003000450512383303
AT1G01100,-0.023827258634996355
AT1G01110,-0.7649286270774031
AT1G01120,1.367149233935435
AT1G01130,2.1796331820835553
AT1G01140,-0.025480990836273962
AT1G01150,2.6551264287920437
AT1G01160,-0.23732950285876012
AT1G01170,-0.6465404612763493
AT1G01180,-1.4386249481884397
AT1G01190,-0.12360059142366511
AT1G01200,0.1899239440716892
AT1G01210,-0.3873924561635901
AT1G01220,-0.5429544870635423
AT1G01225,-0.13406029856993185
AT1G01230,0.40068229349293893
AT1G01240,-0.9748963051692647
AT1G01250,-1.6670895831473032
AT1G01260,0.5618531854400828
AT1G01290,0.24307046038881122
AT1G01300,1.1569400338356632
AT1G01310,3.6021136418851913
AT1G01320,-1.0001608493233205
AT1G01340,2.469886296899929
AT1G01350,0.43493488420349596
AT1G01355,1.9200428278965156
AT1G01360,0.39858814289681305
AT1G01370,0.22866016043221302
AT1G01380,-1.2980439863696556
AT1G01390,0.7827747766798948
AT1G01420,-0.6640512611221229
AT1G01430,-1.335156606818669
AT1G01440,-0.11896840577640032
AT1G01450,-0.5172765195288921
AT1G01453,1.679121798746372
AT1G01470,1.3986623897849189
AT1G01480,1.9940299244889261
AT1G01490,0.10431446200953495
AT1G01500,-0.12326519171510751
AT1G01510,-0.04445794259343311
AT1G01520,-1.1237502706242863
AT1G01540,0.9004467696726234
AT1G01550,0.7952474288810182
AT1G01560,3.266886132098139
AT1G01570,-0.26156416214461214
AT1G01580,1.0516305012387996
AT1G01600,-0.43645634788302173
AT1G01610,-0.31084178065670826
AT1G01620,-1.0084217963881603
AT1G01630,-0.20812989469697632
AT1G01640,0.0734337565026464
AT1G01650,0.6193429908075556
AT1G01660,-0.10594552194249476
AT1G01670,-0.13181769858434358
AT1G01680,4.785602687912562
AT1G01690,0.028663061611422555
AT1G01695,-1.1722208178127567
AT1G01700,-0.0720041740839323
AT1G01710,-0.2723391954302748
AT1G01715,-0.16151809412938328
AT1G01720,0.8915616057354909
AT1G01725,-0.24396179931950024
AT1G01730,0.5810677857680198
AT1G01740,-0.18668221882298927
AT1G01750,0.12781909598973668
AT1G01760,-0.054251593295099196
AT1G01770,-0.9360442331689235
AT1G01780,-0.49783341077851145
AT1G01790,-0.015964693432563487
AT1G01800,-0.30176863544494065
AT1G01810,0.364202942834814
AT1G01820,-0.29486192669690087
AT1G01830,-0.6565010077249042
AT1G01840,-1.6834079919651965
AT1G01860,-0.6376838638391027
AT1G01880,0.06847294316473787
AT1G01900,-0.3494099647446606
AT1G01910,0.2627391276671254
AT1G01920,0.2805133843073813
AT1G01930,-0.19149972770796342
AT1G01940,-0.3471123635423986
AT1G01950,1.0689756045713987
AT1G01960,0.3103739082511172
AT1G01970,-0.1070715947009545
AT1G01980,2.6551264287920437
AT1G01990,-0.6204978553308145
AT1G02000,0.5716640154158799
AT1G02010,0.04035184388518296
AT1G02020,-0.4432676484778701
AT1G02030,-0.3215829091213246
AT1G02050,-0.6425204479280525
AT1G02060,-0.5529649620116428
AT1G02065,0.028178110728567015
AT1G02070,0.07814106767635726
AT1G02080,0.165741091969042
AT1G02090,0.15955294555766475
AT1G02100,0.05200179082948155
AT1G02110,-0.8005604864139253
AT1G02120,-0.1791649575123774
AT1G02130,-0.027281775416147964
AT1G02140,0.06143932733849952
AT1G02145,-0.4563445547017489
AT1G02150,-0.4808201974996283
AT1G02160,-0.09757122734480705
AT1G02170,0.6184945479927177
AT1G02180,-0.788570691262546
AT1G02190,0.4315259204731615
AT1G02205,-0.7915957726670754
AT1G02220,0.5328464552925879
AT1G02230,-0.08676357629292318
AT1G02250,-2.6826615294764204
AT1G02260,-0.5241249819127765
AT1G02270,1.044371555688068
AT1G02280,-0.5132050334989949
AT1G02290,-0.41641317420246665
AT1G02300,-1.698125590270562
AT1G02305,-0.7150780250779183
AT1G02310,-0.6242711516600322
AT1G02330,0.15520835003424488
AT1G02335,0.3322695843431283
AT1G02340,-1.2271509224713197
AT1G02350,-1.1660610133253495
AT1G02360,0.29452950730647903
AT1G02370,0.10494166625674474
AT1G02380,0.18299703072325102
AT1G02390,0.7290331492488528
AT1G02400,3.321923631423758
AT1G02405,3.720169691533466
AT1G02410,0.02538064504519575
AT1G02420,0.032584037644064055
AT1G02430,1.2039653083493667
AT1G02440,1.4354228332580656
AT1G02460,0.7716909430796686
AT1G02470,0.18576918479182586
AT1G02475,-0.2805981951543833
AT1G02490,2.696276678122706
AT1G02500,-0.08635096651939846
AT1G02520,0.7645292436122338
AT1G02530,0.5795010785753107
AT1G02540,2.6623377602122282
AT1G02560,-0.07574586084777622
AT1G02570,-0.5603005745326517
AT1G02575,1.8175791308064737
AT1G02580,-0.3631876330957249
AT1G02610,0.35538242183942087
AT1G02620,-0.285173624565878
AT1G02630,0.07977653051170351
AT1G02640,1.9030921982441757
AT1G02650,2.2440880971827872
AT1G02660,2.883861395113344
AT1G02670,1.0834613378485847
AT1G02680,-0.33941076577814133
AT1G02690,-0.16724448362269156
AT1G02700,-0.5657834730029063
AT1G02705,-0.9468276914007089
AT1G02720,0.37780556039241286
AT1G02730,-0.41292726898943927
AT1G02740,0.263276846690422
AT1G02750,-0.3296395597159162
AT1G02770,-0.734663194497844
AT1G02780,0.06361074791660347
AT1G02800,-0.44465809336133527
AT1G02810,-0.18451400941242763
AT1G02816,0.10632339486231919
AT1G02820,1.2039806124430652
AT1G02830,4.588768522586916
AT1G02840,-0.12652438326781748
AT1G02850,0.0825748686063926
AT1G02860,0.8325087842899717
AT1G02870,0.20495891593322565
AT1G02880,-0.14727901116369516
AT1G02890,0.7346358137564949
AT1G02900,0.6419346992715472
AT1G02910,-0.058414103103042764
AT1G02920,1.7008661698964813
AT1G02930,3.7712459682339494
AT1G02940,-2.6826615294764204
AT1G02950,0.30190297417399975
AT1G02960,-0.13777408896660984
AT1G02965,-2.674639620965142
AT1G02970,-0.7011548733102784
AT1G02980,-2.6826615294764204
AT1G02990,0.21088715933385993
AT1G03000,-0.5769762058824011
AT1G03010,1.0902522580440257
AT1G03020,0.7444308128043484
AT1G03030,0.06526074143114681
AT1G03040,-0.24175236870270442
AT1G03055,0.04692968261374559
AT1G03060,0.193648013851546
AT1G03070,-0.8640571407843367
AT1G03080,0.3225322971639453
AT1G03090,0.5902595605607661
AT1G03100,0.4257824359333831
AT1G03106,-0.14308749715412655
AT1G03110,0.5369104334805793
AT1G03120,0.25080176755248546
AT1G03130,-0.9407716882813335
AT1G03140,-0.45061645432018
AT1G03150,-0.3891244831068226
AT1G03160,-0.45466514169244293
AT1G03165,-0.8282009499370762
AT1G03170,-0.6941901460689683
AT1G03180,-0.03268139021554515
AT1G03190,-0.22373745146185536
AT1G03200,0.45075278459119056
AT1G03210,0.1763523527075114
AT1G03220,0.3090213267485634
AT1G03230,0.20804361825823178
AT1G03240,1.5748518552006214
AT1G03250,0.37240839184762753
AT1G03260,0.587848065646304
AT1G03270,-0.8082188624084149
AT1G03280,0.18417884379244115
AT1G03290,-0.3408876973228984
AT1G03310,-0.7575186293199413
AT1G03320,0.9998696074565585
AT1G03330,-0.013527855586699679
AT1G03340,-1.568175147142864
AT1G03350,1.008499790201135
AT1G03360,0.04107744591534325
AT1G03365,-0.34283732894152197
AT1G03370,1.1743943790837523
AT1G03380,-0.16055730839724103
AT1G03390,0.9411504209245686
AT1G03400,-0.0685910281807584
AT1G03410,0.06402111598023454
AT1G03430,0.33413214998066854
AT1G03440,-0.47750952098985844
AT1G03445,1.5360375800344972
AT1G03457,1.323864763000447
AT1G03470,-0.7680445288242321
AT1G03475,-0.28607297771577883
AT1G03495,-0.20453021801471613
AT1G03510,0.18005602681472885
AT1G03520,0.4356329651391141
AT1G03530,-0.01320209911332029
AT1G03540,0.5914120741528566
AT1G03550,0.06967060674055835
AT1G03560,0.931504988513114
AT1G03590,0.9069709179573427
AT1G03600,-0.4609539795135809
AT1G03610,0.030258494134559118
AT1G03620,0.318639192038153
AT1G03630,-0.6748180520630667
AT1G03650,0.04903474187814017
AT1G03660,0.15704801090210516
AT1G03680,-0.31195712337094206
AT1G03687,-0.34215734952772814
AT1G03700,-1.216670726232251
AT1G03710,0.6999297929807381
AT1G03730,1.466601591156655
AT1G03740,0.8901791196179771
AT1G03750,-0.3445071664708908
AT1G03760,0.0368270573317758
AT1G03770,0.6936040241131224
AT1G03780,-0.2762734402356203
AT1G03790,1.1066999339887522
AT1G03800,2.0810700998131706
AT1G03820,-1.0515703626055743
AT1G03830,-0.3540099447206828
AT1G03840,0.1978340102254875
AT1G03850,0.8449008671530374
AT1G03860,0.018585312385534878
AT1G03870,1.6862593498619896
AT1G03900,0.5714391743830802
AT1G03905,1.2799692824743776
AT1G03910,-0.032584481354401826
AT1G03920,-0.040804593997549904
AT1G03930,0.16898042602085325
AT1G03940,-0.6992414738542807
AT1G03950,0.09982260782091305
AT1G03960,-0.22805228417123466
AT1G03970,0.2998003036972718
AT1G03980,-0.6652062890157926
AT1G03982,1.8728773498034657
AT1G03990,-0.44664004329542223
AT1G04000,-0.22594505303730153
AT1G04010,-0.39675982258542786
AT1G04020,-0.7506388283965169
AT1G04030,-0.12849641910596443
AT1G04040,0.9949677117169982
AT1G04050,-0.5301508205624237
AT1G04070,0.6736179776619089
AT1G04080,0.3180757643312798
AT1G04090,1.5628066007045653
AT1G04100,0.6520713283610479
AT1G04110,-0.3539198248868896
AT1G04120,-0.1325323328175237
AT1G04130,-0.5722417455736986
AT1G04140,-0.03724925983890069
AT1G04150,-0.3072630777828585
AT1G04160,2.600212419539054
AT1G04170,0.2593174474014136
AT1G04180,-3.298260793041984
AT1G04190,0.09610596729058564
AT1G04200,1.8827868940738146
AT1G04210,0.4393270983496492
AT1G04220,-0.8056168793452182
AT1G04230,0.42763562527996196
AT1G04240,1.1068676839891871
AT1G04250,0.017348763827102074
AT1G04260,0.13057452479482423
AT1G04270,0.1573311164598827
AT1G04280,-0.3710713978099519
AT1G04290,0.3368345783241708
AT1G04300,0.15321047203416982
AT1G04310,0.5076429812242476
AT1G04330,-0.06219762443429157
AT1G04340,0.4173705195057094
AT1G04350,-0.5676765654737415
AT1G04360,0.23535782733984825
AT1G04370,3.8707434907726563
AT1G04380,1.651598726644446
AT1G04390,-0.35618571539479305
AT1G04400,0.32021094136493866
AT1G04410,0.13165289271656028
AT1G04420,-0.22499227952006298
AT1G04430,2.3041178768333466
AT1G04440,0.08787785802751265
AT1G04445,3.8693325504205762
AT1G04470,2.6551264287920437
AT1G04480,0.1955644543470222
AT1G04490,0.2693977293839772
AT1G04500,-0.7467493454934012
AT1G04510,0.04077194494547167
AT1G04520,-0.4712416930474089
AT1G04530,0.06590372632439168
AT1G04540,0.42202897323944877
AT1G04550,-0.8743577036735388
AT1G04555,0.638359000378043
AT1G04560,-1.7853685764373242
AT1G04570,-0.674032547180232
AT1G04580,-0.05411820660772968
AT1G04590,-0.3665876407697817
AT1G04600,0.014028719022580408
AT1G04610,-0.13183439847594008
AT1G04620,-0.7439029733604982
AT1G04630,0.08128909096330066
AT1G04635,0.18304053099109913
AT1G04640,-0.26116947982281646
AT1G04650,-0.24463164649877936
AT1G04660,-0.20757132256716293
AT1G04670,-3.461079007329271
AT1G04680,-0.4713279493555288
AT1G04690,0.16361562214490416
AT1G04700,0.6922038084722528
AT1G04710,-0.37549238435730675
AT1G04730,-0.5280878627564505
AT1G04750,0.49004919833984206
AT1G04760,-0.27125520462003844
AT1G04770,0.24638224442912998
AT1G04778,-0.4722690916030648
AT1G04780,0.7369343732767345
AT1G04790,0.2568131581901169
AT1G04800,0.36688321623090675
AT1G04810,-0.2706647265128359
AT1G04820,0.45635525531257454
AT1G04830,0.31330088361839675
AT1G04840,0.03810689005024822
AT1G04850,0.007294933077899352
AT1G04860,0.15956056907353633
AT1G04870,-0.11363166818911678
AT1G04880,-0.1738012834428585
AT1G04900,0.22709012044249047
AT1G04910,0.9127017429524718
AT1G04920,-0.7418250565506115
AT1G04930,0.6535132097137456
AT1G04945,0.19812165106729615
AT1G04940,-0.22578229932455343
AT1G04950,-0.33731205584454493
AT1G04960,0.18193012641879444
AT1G04970,-0.4727277881804367
AT1G04980,-0.01264533477529906
AT1G04985,0.5805650784694365
AT1G04990,0.3399180326066741
AT1G05000,1.0195645653962915
AT1G05010,0.8465321985194869
AT1G05020,2.606826633532871
AT1G05030,-0.18939281361531354
AT1G05035,-1.925113669921666
AT1G05040,-0.057878163030615944
AT1G05055,0.16712612471008542
AT1G05060,-0.08302171747720449
AT1G05065,-1.4507241970350997
AT1G05070,0.00252633088609306
AT1G05080,1.8728773498034657
AT1G05087,0.4105293059523779
AT1G05090,0.8187055541966033
AT1G05100,3.858625136712652
AT1G05120,0.4528556643561083
AT1G05140,-0.9361988691948309
AT1G05150,0.24279616394252576
AT1G05160,-0.026218347985949197
AT1G05170,-1.0826889015532195
AT1G05180,-0.13450141495217824
AT1G05190,-0.1841931936111635
